"","WAIC1","WAIC2","Diff","pWAIC1","pWAIC2","Better"
"Tianjin",857.461170284859,857.632789938315,0.171619653456332,8.35126827159828,8.35266836343818,1
"Harbin",1296.63649291614,1297.05863315449,0.422140238352767,13.1742045150049,13.3690973869545,1
"Nanjing",535.769102471135,536.014265120743,0.245162649607664,6.75811935601221,6.77183082537584,1
"Xuzhou",514.992391408907,515.238144299593,0.245752890686276,5.73464300452402,5.77311104954687,1
"Suzhou",526.922269697029,527.324615013043,0.402345316014248,6.8690234979887,7.0013374543483,1
"Huai'an",434.620058399955,434.766756142858,0.146697742902916,4.80724701582716,4.7912549858169,1
"Hangzhou",1024.63497962666,1025.04160572752,0.406626100856556,14.5992653520995,14.8698098805278,1
"Ningbo",866.781343898813,866.823041386317,0.0416974875039386,14.6698949646633,14.5417614156128,1
"Wenzhou",3014.00940032789,3016.1085885777,2.09918824981196,41.8919511620301,43.3856643370473,1
"Taizhou",744.583676587615,754.611082951442,10.0274063638273,13.8450405232948,27.00383880052,1
"Hefei",1078.36502846378,1078.66295948714,0.297931023359979,12.4882476644472,12.5649240890406,1
"Bengbu",984.91777107876,985.130533884226,0.212762805465218,12.7334446604729,12.787547518532,1
"Anqing",500.828605320161,501.22978850486,0.401183184698823,7.35330624484733,7.53623572806603,1
"Fuyang",1000.51064978477,1000.65043445279,0.139784668013817,11.1167400457288,11.0930395381268,1
"Lu'an",421.464958243535,421.678462471483,0.213504227948363,5.41738974488044,5.4989754750856,1
"Bozhou",682.953498941819,683.004328258884,0.0508293170649949,8.89957200974382,8.78108401311829,1
"Fuzhou",418.982088711886,416.989946512849,-1.99214219903678,6.89417190272957,5.79837675443894,2
"Putian",335.987482098945,336.046948578883,0.0594664799388056,5.60936856740937,5.50441597628787,1
"Nanchang",1450.20068914045,1451.00337374787,0.802684607421497,16.6844443169874,17.3077906065068,1
"Jiujiang",720.8580544424,721.37887036418,0.520815921780695,10.1899576015362,11.0999828264726,1
"Xinyu",805.816042686133,806.170782564678,0.354739878544819,10.171814642371,10.3567483614986,1
"Ganzhou",478.158818643925,478.339668774294,0.180850130369265,6.65241331622951,6.62459011492129,1
"Yichun",693.684207216661,694.058232422288,0.374025205627049,7.3666877338735,7.49050894968175,1
"Fuzhou",444.734026352929,444.898974473998,0.164948121069244,6.8930520275205,6.86720404753091,1
"Shangrao",731.068468274543,731.091813576497,0.0233453019536682,11.5014074480247,11.3903509733094,1
"Zhengzhou",987.046238217182,987.136749702751,0.090511485568868,13.1283581288837,13.0173065545702,1
"Nanyang",995.995638982939,996.251769036422,0.256130053483048,12.833867107914,12.9030391849838,1
"Shangqiu",541.740361287648,542.08485035999,0.344489072342071,7.94223818430018,8.0786763925127,1
"Xinyang",1747.85871607917,1748.43101167192,0.572295592754244,18.5066436941124,18.8504131259325,1
"Zhoukou",487.020694690418,486.585044420886,-0.435650269532061,6.68581485557096,6.50832997877886,2
"Zhumadian",830.874503290443,830.990251603264,0.115748312821097,11.1599654413946,11.1006702157909,1
"Huangshi",6806.94244839635,6806.40229443949,-0.540153956862014,73.938810130486,73.8718249591956,2
"Shiyan",4481.92950470753,4482.62649487873,0.696990171203652,39.5428556701611,40.0631797293659,1
"Yichang",6160.36354754531,6276.14809638655,115.784548841241,65.9255993403765,174.178568639762,1
"Xiangyang",7250.21494526233,7252.798776246,2.58383098366721,89.8757891163236,92.9182421489591,1
"Ezhou",9439.52064485019,9438.75106406315,-0.769580787044106,94.5810898655376,95.5876367468137,2
"Jingmen",7568.93070347942,7569.86869825811,0.937994778684697,78.318557879337,78.7310552947625,1
"Xiaogan",23130.4692434085,23271.1735339759,140.704290567457,240.620783538287,334.02710362948,1
"Jingzhou",10563.3966251704,10566.4334763348,3.03685116438646,114.609595049966,115.686941032593,1
"Huanggang",18794.8172407449,18791.0113064237,-3.80593432116439,208.146463858123,206.046287846475,2
"Xianning",6416.38838208767,6415.94269207342,-0.44569001425134,71.0316991963514,71.8451678567119,2
"Suizhou",8198.35272652304,8203.24435370767,4.8916271846374,93.234088075051,95.3191908501066,1
"Changsha",1406.76188236855,1407.22716250276,0.465280134215618,18.8169347755311,19.0752885824031,1
"Zhuzhou",496.023643142114,496.279399398221,0.255756256106508,6.27853803587151,6.32649193873522,1
"Shaoyang",626.626304271779,626.941684894628,0.315380622849034,8.24724556648033,8.35149431711195,1
"Yueyang",973.981346671413,974.231789638377,0.250442966963988,11.6185768147241,11.6674710688391,1
"Changde",532.898913846948,531.843097364158,-1.05581648278985,7.25818672437916,6.46918913951509,2
"Loudi",446.111960690699,446.373911035092,0.261950344392744,5.42659966609202,5.46620758245994,1
"Zhuhai",561.923217792467,562.41569875631,0.492480963842581,7.39517487931129,7.97977579581068,1
"Huizhou",362.421870013661,362.620113649108,0.198243635447454,4.18866393661509,4.1892636571542,1
"Dongguan",688.834935651137,689.132827916387,0.297892265249629,5.28543343721435,5.52451446238828,1
"Chongqing",3658.60477980924,3658.99434249948,0.389562690236289,43.3472157549183,43.4171526510748,1
"Xi'an",746.72656927837,746.840810220629,0.114240942259471,8.24253776189046,8.18891049891652,1
